Название,IMO,MMSI,Тип,Ссылка,Ошибка
,,,,https://www.vesselfinder.com/ru/vessels?name=DOBRYNYA,"не все данные найдены: name='DOBRYNYA', imo='', mmsi='', type=''"
,,,,https://www.vesselfinder.com/ru/vessels?name=DON,"не все данные найдены: name='DON DON', imo='', mmsi='', type='Pleasure craft'"
,,,,https://www.vesselfinder.com/ru/vessels?name=DONG BANG NO 3,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=DONG BANG NO.7,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=DONG FANG SHI BA HAO,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=DONG FANG SHUN,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=DONG FANG XING,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=DONGBANG NO1HO,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=DONGFANGSHIJIUHAO,суда не найдены
,,,,https://www.vesselfinder.com/ru/vessels?name=DONGJIN HIGHNESS,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=DORIS,"не все данные найдены: name='DORIS', imo='', mmsi='', type=''"
,,,,https://www.vesselfinder.com/ru/vessels?name=DOZORNYY,"не все данные найдены: name='DOZORNYY', imo='', mmsi='', type=''"
,,,,https://www.vesselfinder.com/ru/vessels?name=DPL ALYUR,статус код: 400
DUBNA,8905608,273439430,Fishing vessel,https://www.vesselfinder.com/ru/vessels?name=DUBNA,
,,,,https://www.vesselfinder.com/ru/vessels?name=DUBROVNIK,"не все данные найдены: name='DUBROVNIK', imo='', mmsi='', type='Sailing vessel'"
,,,,https://www.vesselfinder.com/ru/vessels?name=EBN HAWKEL,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=EDWIN,"не все данные найдены: name='EDWIN', imo='', mmsi='', type=''"
,,,,https://www.vesselfinder.com/ru/vessels?name=EEMSLIFT DAFNE,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=EILTANK 68,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=EKARMA 2,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=EKARMA 3,статус код: 400
EKATERINA,9158458,215776000,Cargo ship,https://www.vesselfinder.com/ru/vessels?name=EKATERINA,
,,,,https://www.vesselfinder.com/ru/vessels?name=ELANDRA SPRUCE,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=ELEEN EVA,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=ELEONORA,"не все данные найдены: name='ELEONORA', imo='', mmsi='', type='SAR'"
,,,,https://www.vesselfinder.com/ru/vessels?name=ELGA,"не все данные найдены: name='ELGA', imo='', mmsi='', type='Sailing vessel'"
,,,,https://www.vesselfinder.com/ru/vessels?name=ELIANE,"не все данные найдены: name='ELIANE', imo='', mmsi='', type='Sailing vessel'"
,,,,https://www.vesselfinder.com/ru/vessels?name=ELLA,"не все данные найдены: name='ELLA', imo='', mmsi='', type='Sailing vessel'"
,,,,https://www.vesselfinder.com/ru/vessels?name=EM RUBY,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=EM SAPPHIRE,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=EMCO 1,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=EN JI 1,статус код: 400
